state,pcNo,voterTurnout,pcName
Andhra Pradesh,1,76.15,Adilabad 
Andhra Pradesh,2,71.93,Peddapalle 
Andhra Pradesh,3,72.69,Karimnagar 
Andhra Pradesh,4,69.11,Nizamabad
Andhra Pradesh,5,76.09,Zahirabad
Andhra Pradesh,6,77.7,Medak
Andhra Pradesh,7,51.05,Malkajgiri
Andhra Pradesh,8,53.06,Secundrabad
Andhra Pradesh,9,53.3,Hyderabad
Andhra Pradesh,10,60.51,CHELVELLA
Andhra Pradesh,11,71.58,Mahbubnagar
Andhra Pradesh,12,75.55,Nagarkurnool
Andhra Pradesh,13,79.75,Nalgonda
Andhra Pradesh,14,81.27,Bhongir 
Andhra Pradesh,15,76.52,Warangal
Andhra Pradesh,16,81.21,Mahabubabad  
Andhra Pradesh,17,82.55,Khammam 
Andhra Pradesh,18,71.82,Aruku 
Andhra Pradesh,19,74.6,Srikakulam
Andhra Pradesh,20,80.19,Vizianagaram
Andhra Pradesh,21,67.53,Visakhapatnam
Andhra Pradesh,22,82.01,Anakapalli
Andhra Pradesh,23,77.68,Kakinada
Andhra Pradesh,24,82.63,Amalapuram 
Andhra Pradesh,25,81.38,Rajahmundry
Andhra Pradesh,26,82.19,Narsapuram
Andhra Pradesh,27,84.27,Eluru 
Andhra Pradesh,28,83.48,Machilipatnam 
Andhra Pradesh,29,76.64,Vijayawada
Andhra Pradesh,30,79.31,Guntur
Andhra Pradesh,31,84.68,Narasaraopet
Andhra Pradesh,32,85.16,Bapatla 
Andhra Pradesh,33,82.23,Ongole 
Andhra Pradesh,34,76.71,Nandyal
Andhra Pradesh,35,72.08,Kurnool
Andhra Pradesh,36,78.87,Anantapur
Andhra Pradesh,37,81.53,Hindupur
Andhra Pradesh,38,77.47,Kadapa
Andhra Pradesh,39,74.02,Nellore
Andhra Pradesh,40,77.14,Tirupati 
Andhra Pradesh,41,78.05,Rajampet
Andhra Pradesh,42,82.59,Chittoor 
Arunachal Pradesh,1,76.15,ARUNACHAL WEST
Arunachal Pradesh,2,71.93,ARUNACHAL EAST
Assam,1,76.15,Karimganj 
Assam,2,71.93,Silchar
Assam,3,72.69,Autonomous District
Assam,4,69.11,Dhubri
Assam,5,76.09,Kokrajhar
Assam,6,77.7,Barpeta
Assam,7,51.05,Gauhati
Assam,8,53.06,Mangaldoi
Assam,9,53.3,Tezpur
Assam,10,60.51,Nowgong
Assam,11,71.58,Kaliabor
Assam,12,75.55,Jorhat
Assam,13,79.75,Dibrugarh
Assam,14,81.27,Lakhimpur
Bihar,1,76.15,Valmiki Nagar
Bihar,2,71.93,Paschim Champaran
Bihar,3,72.69,Purvi Champaran
Bihar,4,69.11,Sheohar
Bihar,5,76.09,Sitamarhi
Bihar,6,77.7,Madhubani
Bihar,7,51.05,Jhanjharpur
Bihar,8,53.06,Supaul
Bihar,9,53.3,Araria
Bihar,10,60.51,Kishanganj
Bihar,11,71.58,Katihar
Bihar,12,75.55,Purnia
Bihar,13,79.75,Madhepura
Bihar,14,81.27,Darbhanga
Bihar,15,76.52,Muzaffarpur
Bihar,16,81.21,Vaishali
Bihar,17,82.55,Gopalganj (SC)
Bihar,18,71.82,Siwan
Bihar,19,74.6,Maharajganj
Bihar,20,80.19,Saran
Bihar,21,67.53,Hajipur (SC)
Bihar,22,82.01,Ujiarpur
Bihar,23,77.68,Samastipur (SC)
Bihar,24,82.63,Begusarai
Bihar,25,81.38,Khagaria
Bihar,26,82.19,Bhagalpur
Bihar,27,84.27,Banka
Bihar,28,83.48,Munger
Bihar,29,76.64,Nalanda
Bihar,30,79.31,Patna Sahib
Bihar,31,84.68,Pataliputra
Bihar,32,85.16,Arrah
Bihar,33,82.23,Buxar
Bihar,34,76.71,Sasaram (SC)
Bihar,35,72.08,Karakat
Bihar,36,78.87,Jahanabad
Bihar,37,81.53,Aurangabad
Bihar,38,77.47,Gaya (SC)
Bihar,39,74.02,Nawada
Bihar,40,77.14,Jamui (SC)
Goa,1,76.15,North Goa
Goa,2,71.93,South Goa
Gujarat,1,76.15,Kachchh
Gujarat,2,71.93,Banaskantha
Gujarat,3,72.69,Patan
Gujarat,4,69.11,Mahesana
Gujarat,5,76.09,Sabarkantha
Gujarat,6,77.7,Gandhinagar
Gujarat,7,51.05,Ahmedabad East
Gujarat,8,53.06,Ahmedabad West
Gujarat,9,53.3,Surendranagar
Gujarat,10,60.51,Rajkot
Gujarat,11,71.58,Porbandar
Gujarat,12,75.55,Jamnagar
Gujarat,13,79.75,Junagadh
Gujarat,14,81.27,Amreli
Gujarat,15,76.52,Bhavnagar
Gujarat,16,81.21,Anand
Gujarat,17,82.55,Kheda
Gujarat,18,71.82,Panchmahal
Gujarat,19,74.6,Dahod
Gujarat,20,80.19,Vadodara
Gujarat,21,67.53,Chhota Udaipur
Gujarat,22,82.01,Bharuch
Gujarat,23,77.68,Bardoli
Gujarat,24,82.63,Surat
Gujarat,25,81.38,Navsari
Gujarat,26,82.19,Valsad
Haryana,1,76.15,Ambala
Haryana,2,71.93,Kurukshetra
Haryana,3,72.69,Sirsa
